id	Cluster
GSM2735279	Cluster1
GSM2735290	Cluster2
GSM2735211	Cluster2
GSM2735218	Cluster1
GSM2735281	Cluster1
GSM2735314	Cluster2
GSM2735223	Cluster2
GSM2735246	Cluster2
GSM2735226	Cluster1
GSM2735238	Cluster2
GSM2735265	Cluster1
GSM2735313	Cluster1
GSM2735234	Cluster2
GSM2735253	Cluster1
GSM2735233	Cluster2
GSM2735291	Cluster1
GSM2735300	Cluster2
GSM2735284	Cluster2
GSM2735274	Cluster1
GSM2735239	Cluster1
GSM2735295	Cluster2
GSM2735228	Cluster1
GSM2735294	Cluster1
GSM2735243	Cluster2
GSM2735250	Cluster1
GSM2735307	Cluster1
GSM2735264	Cluster1
GSM2735230	Cluster1
GSM2735305	Cluster2
GSM2735252	Cluster1
GSM2735308	Cluster2
GSM2735260	Cluster1
GSM2735261	Cluster1
GSM2735240	Cluster1
GSM2735304	Cluster1
GSM2735203	Cluster1
GSM2735245	Cluster1
GSM2735204	Cluster1
GSM2735298	Cluster1
GSM2735217	Cluster1
GSM2735237	Cluster1
GSM2735297	Cluster1
GSM2735259	Cluster1
GSM2735205	Cluster1
GSM2735310	Cluster1
GSM2735220	Cluster1
GSM2735296	Cluster1
GSM2735287	Cluster1
GSM2735267	Cluster1
GSM2735273	Cluster1
GSM2735219	Cluster1
GSM2735303	Cluster1
GSM2735208	Cluster2
GSM2735247	Cluster1
GSM2735311	Cluster1
GSM2735272	Cluster1
GSM2735229	Cluster2
GSM2735222	Cluster1
GSM2735255	Cluster1
GSM2735206	Cluster2
GSM2735299	Cluster1
GSM2735202	Cluster1
GSM2735280	Cluster1
GSM2735216	Cluster2
GSM2735254	Cluster1
GSM2735244	Cluster1
GSM2735251	Cluster1
GSM2735278	Cluster1
GSM2735241	Cluster1
GSM2735232	Cluster1
GSM2735215	Cluster1
GSM2735266	Cluster2
GSM2735224	Cluster1
GSM2735221	Cluster1
GSM2735249	Cluster1
GSM2735292	Cluster2
GSM2735235	Cluster2
GSM2735257	Cluster1
GSM2735277	Cluster1
GSM2735213	Cluster1
GSM2735209	Cluster1
GSM2735236	Cluster2
GSM2735258	Cluster2
GSM2735212	Cluster1
GSM2735285	Cluster1
GSM2735227	Cluster1
GSM2735242	Cluster1
GSM2735276	Cluster2
