symbol	GSM1301444	GSM1301445	GSM1301446	GSM1301447	GSM1301448	GSM1301449	GSM1301450	GSM1301451	GSM1301452	GSM1301453	GSM1301454	GSM1301455	GSM1301456	GSM1301457	GSM1301458	GSM1301459	GSM1301460	GSM1301461
1/2-SBSRNA4	8.354726	8.037513	7.649934	8.31985	7.73487	8.664712	8.3478365	8.161669	8.290336	8.616501	8.326393	7.996036	8.2420025	8.328048	7.9344482	7.9825277	8.185526	8.029206
A1BG	7.55690865	7.01633718611111	7.2379881	7.5599939	7.742211	8.0464245	8.0729914	7.2066311	8.1526585	7.9150491	7.29713275	7.30407475	8.5372805	7.22594676388889	7.0355951	7.30458639722222	7.65544235	8.30782335
A1BG-AS1	10.671913	9.31481	10.418825	10.5792566944444	9.131832	10.155253	9.717711	10.6479	10.3587111111111	9.741656	9.897636	10.323451	10.074376	10.298068	9.646249	9.379563	10.501866	10.158129
A1CF	3.5880044	3.27267325	3.31145295	4.66002845	3.28431235	3.79001155	3.3429352	3.77309855	3.01455605	3.69809405	5.1803127	4.0850342	5.57353495	6.04884865	3.33695294166667	3.4189115	3.3720144	3.61854465
A2LD1	9.219476	10.135557	9.784006	10.300201	11.401851	9.246712	11.416766	9.672658	10.331508	8.755324	8.638615	10.916496	10.267478	9.367702	9.675527	10.315993	9.2193165	9.158253
A2M	15.193541	14.880368	15.186511	15.728685	14.839991	16.124474	14.259328	16.07581	16.462767	15.382537	15.241452	15.581345	13.869714	14.962176	14.568162	15.247306	15.6863	16.375977
A2ML1	10.380303	11.451029	11.538571	10.555951	9.815323	10.46855	10.548371	10.286818	12.090087	9.439561	9.426	8.858995	10.590849	8.7918	9.833628	13.641497	9.80705522222222	11.402091
A4GALT	9.462114	9.727699	10.498734	8.775853	9.975229	9.8947935	9.335057	9.3889265	10.067534	9.016541	9.520964	9.827261	7.5105596	11.339437	10.671393	10.423859	9.469351	9.505733
A4GNT	6.403297	5.475507	4.56404033055556	4.672148	4.4263916	4.709432	3.5849724	4.8997464	4.400705	5.0573125	4.9362783	3.6898634	4.6332083	4.671766	4.1358695	4.063242	3.71089955	4.771858
AAAS	12.143509	11.94433	12.305443	12.048602	11.754282	12.059833	11.613568	12.00341	11.881126	12.036486	11.711422	11.530688	10.284447	11.457159	11.917255	11.265808	12.167005	11.886491
AACS	11.709291	11.18297	12.200107	11.446739	14.21552	11.391628	11.296133	11.276163	12.246972	12.684283	12.272255	11.04792	9.764991	11.6888843888889	11.533338	12.020963	11.1935685555556	12.38117
AADAC	8.763894	10.088973	6.6066155	10.0116818888889	6.9151626	7.7482843	7.577484	8.430956	6.112945	5.0446568	7.055205	10.052041	5.608446	10.8744643888889	6.6950107	8.087126	5.135143	5.9997354
AADACL2	6.0739594	7.9313416	4.683147	2.654839	2.6453137	2.7418997	3.546988	3.6289537	2.7180774	4.901912	2.6380572	2.6590614	2.6610756	2.7176158	2.65389847222222	2.641335	2.6303449	2.7837508
AADAT	7.1316338	8.768251	6.6859093	6.71963	5.990574	7.04735575	9.658007	7.564724	9.026579	8.492371	7.5680885	8.9826145	2.6311097	5.806492	10.314151	8.411587	7.79891846111111	8.816684
AAGAB	11.574869	14.205093	13.254838	13.845399	13.300268	13.2207825	13.234724	13.540113	13.538523	12.896847	13.799345	13.2152198333333	9.977413	13.257656	13.280305	13.311159	13.282265	13.430096
AAK1	6.82031516666667	6.8946498	7.11899153333333	7.12357553333333	7.44419453333333	7.28585162037037	6.38239826666667	6.6752595	6.3564203	5.50126056666667	6.2421453	6.28061873333333	7.67281123333333	6.91797948333333	6.3265035	6.48518266666667	6.64289266666667	6.90274546666667
